@relation GasFurnaceOld
@attribute TimeStamp integer[0,289]
@attribute Ytm1 real[45.6,60.5]
@attribute Ytm2 real[45.6,60.5]
@attribute Ytm3 real[45.6,60.5]
@attribute Ytm4 real[45.6,60.5]
@attribute Utm1 real[45.6,60.5]
@attribute Utm2 real[-2.72,2.83]
@attribute Utm3 real[-2.72,2.83]
@attribute Utm4 real[-2.72,2.83]
@attribute Utm5 real[-2.72,2.83]
@attribute Utm6 real[-2.72,2.83]
@attribute Yt real[-2.72,2.83]
@inputs Ytm1, Ytm2, Ytm3, Ytm4, Utm1, Utm2, Utm3, Utm4, Utm5, Utm6
@outputs Yt
@data
0,52.7,53.1,53.4,53.5,53.5,0.441,0.373,0.339,0.178,0.0,-0.109
1,52.4,52.7,53.1,53.4,53.5,0.461,0.441,0.373,0.339,0.178,0.0
2,52.2,52.4,52.7,53.1,53.4,0.348,0.461,0.441,0.373,0.339,0.178
3,52.0,52.2,52.4,52.7,53.1,0.127,0.348,0.461,0.441,0.373,0.339
4,52.0,52.0,52.2,52.4,52.7,-0.18,0.127,0.348,0.461,0.441,0.373
5,52.4,52.0,52.0,52.2,52.4,-0.588,-0.18,0.127,0.348,0.461,0.441
6,53.0,52.4,52.0,52.0,52.2,-1.06,-0.588,-0.18,0.127,0.348,0.461
7,54.0,53.0,52.4,52.0,52.0,-1.42,-1.06,-0.588,-0.18,0.127,0.348
8,54.9,54.0,53.0,52.4,52.0,-1.52,-1.42,-1.06,-0.588,-0.18,0.127
9,56.0,54.9,54.0,53.0,52.4,-1.3,-1.52,-1.42,-1.06,-0.588,-0.18
10,56.8,56.0,54.9,54.0,53.0,-0.814,-1.3,-1.52,-1.42,-1.06,-0.588
11,56.8,56.8,56.0,54.9,54.0,-0.475,-0.814,-1.3,-1.52,-1.42,-1.06
12,56.4,56.8,56.8,56.0,54.9,-0.193,-0.475,-0.814,-1.3,-1.52,-1.42
13,55.7,56.4,56.8,56.8,56.0,0.088,-0.193,-0.475,-0.814,-1.3,-1.52
14,55.0,55.7,56.4,56.8,56.8,0.435,0.088,-0.193,-0.475,-0.814,-1.3
15,54.3,55.0,55.7,56.4,56.8,0.771,0.435,0.088,-0.193,-0.475,-0.814
16,53.2,54.3,55.0,55.7,56.4,0.866,0.771,0.435,0.088,-0.193,-0.475
17,52.3,53.2,54.3,55.0,55.7,0.875,0.866,0.771,0.435,0.088,-0.193
18,51.6,52.3,53.2,54.3,55.0,0.891,0.875,0.866,0.771,0.435,0.088
19,51.2,51.6,52.3,53.2,54.3,0.987,0.891,0.875,0.866,0.771,0.435
20,50.8,51.2,51.6,52.3,53.2,1.26,0.987,0.891,0.875,0.866,0.771
21,50.5,50.8,51.2,51.6,52.3,1.78,1.26,0.987,0.891,0.875,0.866
22,50.0,50.5,50.8,51.2,51.6,1.98,1.78,1.26,0.987,0.891,0.875
23,49.2,50.0,50.5,50.8,51.2,1.93,1.98,1.78,1.26,0.987,0.891
24,48.4,49.2,50.0,50.5,50.8,1.87,1.93,1.98,1.78,1.26,0.987
25,47.9,48.4,49.2,50.0,50.5,1.83,1.87,1.93,1.98,1.78,1.26
26,47.6,47.9,48.4,49.2,50.0,1.77,1.83,1.87,1.93,1.98,1.78
