@relation mgts
@attribute TimeStamp real [0, 236]
@attribute Lag04 real [0.41818, 1.3191]
@attribute Lag03 real [0.41818, 1.3191]
@attribute Lag02 real [0.41818, 1.3191]
@attribute Lag01 real [0.41818, 1.3191]
@attribute Lag00 real [0.41818, 1.3191]
@inputs Lag04, Lag03, Lag02, Lag01
@outputs Lag00
@data
0,0.48678,0.59378,0.80861,1.2,0.82029
1,0.50596,0.56902,0.76323,1.1176,0.87655
2,0.5499,0.54661,0.72225,1.0429,0.92311
3,0.61243,0.52634,0.68523,0.9752,0.9602
4,0.68383,0.508,0.65163,0.91401,0.9887
5,0.75509,0.4914,0.62123,0.85874,1.0095
6,0.82029,0.48678,0.59378,0.80861,1.0235
7,0.87655,0.50596,0.56902,0.76323,1.032
8,0.92311,0.5499,0.54661,0.72225,1.0356
9,0.9602,0.61243,0.52634,0.68523,1.0353
10,0.9887,0.68383,0.508,0.65163,1.0318
11,1.0095,0.75509,0.4914,0.62123,1.0263
12,1.0235,0.82029,0.48678,0.59378,1.0226
13,1.032,0.87655,0.50596,0.56902,1.0254
14,1.0356,0.92311,0.5499,0.54661,1.0378
15,1.0353,0.9602,0.61243,0.52634,1.061
16,1.0318,0.9887,0.68383,0.508,1.0919
17,1.0263,1.0095,0.75509,0.4914,1.125
18,1.0226,1.0235,0.82029,0.48678,1.1527
19,1.0254,1.032,0.87655,0.50596,1.1696
20,1.0378,1.0356,0.92311,0.5499,1.1736
21,1.061,1.0353,0.9602,0.61243,1.1662
22,1.0919,1.0318,0.9887,0.68383,1.1506
23,1.125,1.0263,1.0095,0.75509,1.1297
24,1.1527,1.0226,1.0235,0.82029,1.1065
25,1.1696,1.0254,1.032,0.87655,1.0832
26,1.1736,1.0378,1.0356,0.92311,1.0616
27,1.1662,1.061,1.0353,0.9602,1.0427
28,1.1506,1.0919,1.0318,0.9887,1.0277
29,1.1297,1.125,1.0263,1.0095,1.0158
30,1.1065,1.1527,1.0226,1.0235,1.0053
31,1.0832,1.1696,1.0254,1.032,0.99302
32,1.0616,1.1736,1.0378,1.0356,0.97498
33,1.0427,1.1662,1.061,1.0353,0.94857
34,1.0277,1.1506,1.0919,1.0318,0.91378
35,1.0158,1.1297,1.125,1.0263,0.87301
36,1.0053,1.1065,1.1527,1.0226,0.83016
37,0.99302,1.0832,1.1696,1.0254,0.78889
38,0.97498,1.0616,1.1736,1.0378,0.75199
39,0.94857,1.0427,1.1662,1.061,0.72155
40,0.91378,1.0277,1.1506,1.0919,0.6989
41,0.87301,1.0158,1.1297,1.125,0.68499
42,0.83016,1.0053,1.1065,1.1527,0.67985
43,0.78889,0.99302,1.0832,1.1696,0.68301
44,0.75199,0.97498,1.0616,1.1736,0.6934
45,0.72155,0.94857,1.0427,1.1662,0.70919
46,0.6989,0.91378,1.0277,1.1506,0.72851
47,0.68499,0.87301,1.0158,1.1297,0.75033
48,0.67985,0.83016,1.0053,1.1065,0.77425
49,0.68301,0.78889,0.99302,1.0832,0.80151
50,0.6934,0.75199,0.97498,1.0616,0.83428
51,0.70919,0.72155,0.94857,1.0427,0.87381
52,0.72851,0.6989,0.91378,1.0277,0.91882
53,0.75033,0.68499,0.87301,1.0158,0.9662
54,0.77425,0.67985,0.83016,1.0053,1.0116
55,0.80151,0.68301,0.78889,0.99302,1.0517
56,0.83428,0.6934,0.75199,0.97498,1.0854
57,0.87381,0.70919,0.72155,0.94857,1.1129
58,0.91882,0.72851,0.6989,0.91378,1.1354
59,0.9662,0.75033,0.68499,0.87301,1.1544
60,1.0116,0.77425,0.67985,0.83016,1.1715
61,1.0517,0.80151,0.68301,0.78889,1.1879
62,1.0854,0.83428,0.6934,0.75199,1.2046
63,1.1129,0.87381,0.70919,0.72155,1.2219
64,1.1354,0.91882,0.72851,0.6989,1.2398
65,1.1544,0.9662,0.75033,0.68499,1.2579
66,1.1715,1.0116,0.77425,0.67985,1.2756
67,1.1879,1.0517,0.80151,0.68301,1.2914
68,1.2046,1.0854,0.83428,0.6934,1.3032
69,1.2219,1.1129,0.87381,0.70919,1.3068
70,1.2398,1.1354,0.91882,0.72851,1.2974
71,1.2579,1.1544,0.9662,0.75033,1.2731
72,1.2756,1.1715,1.0116,0.77425,1.2346
73,1.2914,1.1879,1.0517,0.80151,1.1861
74,1.3032,1.2046,1.0854,0.83428,1.1316
75,1.3068,1.2219,1.1129,0.87381,1.0745
76,1.2974,1.2398,1.1354,0.91882,1.017
77,1.2731,1.2579,1.1544,0.9662,0.9602
78,1.2346,1.2756,1.1715,1.0116,0.90491
79,1.1861,1.2914,1.1879,1.0517,0.8513
80,1.1316,1.3032,1.2046,1.0854,0.79945
81,1.0745,1.3068,1.2219,1.1129,0.7494
82,1.017,1.2974,1.2398,1.1354,0.70123
83,0.9602,1.2731,1.2579,1.1544,0.65514
84,0.90491,1.2346,1.2756,1.1715,0.61134
85,0.8513,1.1861,1.2914,1.1879,0.57005
86,0.79945,1.1316,1.3032,1.2046,0.53191
87,0.7494,1.0745,1.3068,1.2219,0.49764
88,0.70123,1.017,1.2974,1.2398,0.46855
89,0.65514,0.9602,1.2731,1.2579,0.44635
90,0.61134,0.90491,1.2346,1.2756,0.43365
91,0.57005,0.8513,1.1861,1.2914,0.43364
92,0.53191,0.79945,1.1316,1.3032,0.44993
93,0.49764,0.7494,1.0745,1.3068,0.48499
94,0.46855,0.70123,1.017,1.2974,0.53845
95,0.44635,0.65514,0.9602,1.2731,0.60566
96,0.43365,0.61134,0.90491,1.2346,0.67914
97,0.43364,0.57005,0.8513,1.1861,0.75128
98,0.44993,0.53191,0.79945,1.1316,0.81636
99,0.48499,0.49764,0.7494,1.0745,0.87119
100,0.53845,0.46855,0.70123,1.017,0.91466
101,0.60566,0.44635,0.65514,0.9602,0.9468
102,0.67914,0.43365,0.61134,0.90491,0.96854
103,0.75128,0.43364,0.57005,0.8513,0.98093
104,0.81636,0.44993,0.53191,0.79945,0.98532
105,0.87119,0.48499,0.49764,0.7494,0.98337
106,0.91466,0.53845,0.46855,0.70123,0.97668
107,0.9468,0.60566,0.44635,0.65514,0.96721
108,0.96854,0.67914,0.43365,0.61134,0.95747
109,0.98093,0.75128,0.43364,0.57005,0.95014
110,0.98532,0.81636,0.44993,0.53191,0.94837
111,0.98337,0.87119,0.48499,0.49764,0.95529
112,0.97668,0.91466,0.53845,0.46855,0.97274
113,0.96721,0.9468,0.60566,0.44635,1.0011
114,0.95747,0.96854,0.67914,0.43365,1.0372
115,0.95014,0.98093,0.75128,0.43364,1.0754
116,0.94837,0.98532,0.81636,0.44993,1.1084
117,0.95529,0.98337,0.87119,0.48499,1.131
118,0.97274,0.97668,0.91466,0.53845,1.1419
119,1.0011,0.96721,0.9468,0.60566,1.1434
120,1.0372,0.95747,0.96854,0.67914,1.1389
121,1.0754,0.95014,0.98093,0.75128,1.1319
122,1.1084,0.94837,0.98532,0.81636,1.1251
123,1.131,0.95529,0.98337,0.87119,1.1206
124,1.1419,0.97274,0.97668,0.91466,1.1195
125,1.1434,1.0011,0.96721,0.9468,1.1222
126,1.1389,1.0372,0.95747,0.96854,1.1273
127,1.1319,1.0754,0.95014,0.98093,1.1335
128,1.1251,1.1084,0.94837,0.98532,1.1385
129,1.1206,1.131,0.95529,0.98337,1.1387
130,1.1195,1.1419,0.97274,0.97668,1.1306
131,1.1222,1.1434,1.0011,0.96721,1.1109
132,1.1273,1.1389,1.0372,0.95747,1.0785
