@relation NNGC1_dataset_D1_V1_002
@attribute TimeStamp real [5, 1179]
@attribute Lag04 real [53, 1295]
@attribute Lag03 real [53, 1295]
@attribute Lag02 real [53, 1295]
@attribute Lag01 real [53, 1295]
@attribute Lag00 real [53, 1295]
@inputs Lag04, Lag03, Lag02, Lag01
@outputs Lag00
@data
5, 271, 398, 125, 230, 75
6, 398, 125, 230, 75, 205
7, 125, 230, 75, 205, 267
8, 230, 75, 205, 267, 190
9, 75, 205, 267, 190, 107
10, 205, 267, 190, 107, 147
11, 267, 190, 107, 147, 226
12, 190, 107, 147, 226, 146
13, 107, 147, 226, 146, 416
14, 147, 226, 146, 416, 221
15, 226, 146, 416, 221, 102
16, 146, 416, 221, 102, 184
17, 416, 221, 102, 184, 137
18, 221, 102, 184, 137, 208
19, 102, 184, 137, 208, 85
20, 184, 137, 208, 85, 178
21, 137, 208, 85, 178, 157
22, 208, 85, 178, 157, 160
23, 85, 178, 157, 160, 142
24, 178, 157, 160, 142, 191
25, 157, 160, 142, 191, 56
26, 160, 142, 191, 56, 118
27, 142, 191, 56, 118, 197
28, 191, 56, 118, 197, 163
29, 56, 118, 197, 163, 201
30, 118, 197, 163, 201, 53
31, 197, 163, 201, 53, 260
32, 163, 201, 53, 260, 171
33, 201, 53, 260, 171, 150
34, 53, 260, 171, 150, 215
35, 260, 171, 150, 215, 301
36, 171, 150, 215, 301, 243
37, 150, 215, 301, 243, 125
38, 215, 301, 243, 125, 339
39, 301, 243, 125, 339, 436
40, 243, 125, 339, 436, 221
41, 125, 339, 436, 221, 88
42, 339, 436, 221, 88, 145
43, 436, 221, 88, 145, 199
44, 221, 88, 145, 199, 495
45, 88, 145, 199, 495, 329
46, 145, 199, 495, 329, 156
47, 199, 495, 329, 156, 313
48, 495, 329, 156, 313, 305
49, 329, 156, 313, 305, 105
50, 156, 313, 305, 105, 232
51, 313, 305, 105, 232, 177
52, 305, 105, 232, 177, 253
53, 105, 232, 177, 253, 209
54, 232, 177, 253, 209, 258
55, 177, 253, 209, 258, 272
56, 253, 209, 258, 272, 228
57, 209, 258, 272, 228, 356
58, 258, 272, 228, 356, 338
59, 272, 228, 356, 338, 367
60, 228, 356, 338, 367, 382
61, 356, 338, 367, 382, 199
62, 338, 367, 382, 199, 198
63, 367, 382, 199, 198, 261
64, 382, 199, 198, 261, 175
65, 199, 198, 261, 175, 304
66, 198, 261, 175, 304, 231
67, 261, 175, 304, 231, 115
68, 175, 304, 231, 115, 173
69, 304, 231, 115, 173, 242
70, 231, 115, 173, 242, 224
71, 115, 173, 242, 224, 154
72, 173, 242, 224, 154, 167
73, 242, 224, 154, 167, 342
74, 224, 154, 167, 342, 283
75, 154, 167, 342, 283, 132
76, 167, 342, 283, 132, 346
77, 342, 283, 132, 346, 175
78, 283, 132, 346, 175, 494
79, 132, 346, 175, 494, 452
80, 346, 175, 494, 452, 237
81, 175, 494, 452, 237, 277
82, 494, 452, 237, 277, 108
83, 452, 237, 277, 108, 358
84, 237, 277, 108, 358, 397
85, 277, 108, 358, 397, 243
86, 108, 358, 397, 243, 215
87, 358, 397, 243, 215, 316
88, 397, 243, 215, 316, 457
89, 243, 215, 316, 457, 140
90, 215, 316, 457, 140, 132
91, 316, 457, 140, 132, 356
92, 457, 140, 132, 356, 261
93, 140, 132, 356, 261, 186
94, 132, 356, 261, 186, 204
95, 356, 261, 186, 204, 265
96, 261, 186, 204, 265, 225
97, 186, 204, 265, 225, 276
98, 204, 265, 225, 276, 105
99, 265, 225, 276, 105, 81
100, 225, 276, 105, 81, 313
101, 276, 105, 81, 313, 263
102, 105, 81, 313, 263, 348
103, 81, 313, 263, 348, 323
104, 313, 263, 348, 323, 373
105, 263, 348, 323, 373, 180
106, 348, 323, 373, 180, 247
107, 323, 373, 180, 247, 261
108, 373, 180, 247, 261, 417
109, 180, 247, 261, 417, 411
110, 247, 261, 417, 411, 246
111, 261, 417, 411, 246, 426
112, 417, 411, 246, 426, 123
113, 411, 246, 426, 123, 201
114, 246, 426, 123, 201, 270
115, 426, 123, 201, 270, 529
116, 123, 201, 270, 529, 363
117, 201, 270, 529, 363, 335
118, 270, 529, 363, 335, 100
119, 529, 363, 335, 100, 112
120, 363, 335, 100, 112, 140
121, 335, 100, 112, 140, 306
122, 100, 112, 140, 306, 204
123, 112, 140, 306, 204, 320
124, 140, 306, 204, 320, 211
125, 306, 204, 320, 211, 103
126, 204, 320, 211, 103, 566
127, 320, 211, 103, 566, 393
128, 211, 103, 566, 393, 459
129, 103, 566, 393, 459, 326
130, 566, 393, 459, 326, 389
131, 393, 459, 326, 389, 374
132, 459, 326, 389, 374, 320
133, 326, 389, 374, 320, 193
134, 389, 374, 320, 193, 344
135, 374, 320, 193, 344, 246
136, 320, 193, 344, 246, 543
137, 193, 344, 246, 543, 303
138, 344, 246, 543, 303, 282
139, 246, 543, 303, 282, 659
140, 543, 303, 282, 659, 619
141, 303, 282, 659, 619, 351
142, 282, 659, 619, 351, 294
143, 659, 619, 351, 294, 443
144, 619, 351, 294, 443, 515
145, 351, 294, 443, 515, 401
146, 294, 443, 515, 401, 265
147, 443, 515, 401, 265, 410
148, 515, 401, 265, 410, 536
